Run=numerical+categorical_P=7113_K=9_dist=podani_S=10_cluster_weights,Run=numerical+categorical_P=7113_K=4_dist=gower_S=1.5,Run=numerical+categorical_P=7113_K=4_dist=gower_S=3,Run=numerical+categorical_P=7113_K=4_dist=gower_S=10,Run=numerical+categorical_P=7113_K=4_dist=wishart_S=1.2,Run=numerical+categorical_P=7113_K=4_dist=wishart_S=1.5,Run=numerical+categorical_P=7113_K=4_dist=wishart_S=3,Run=numerical+categorical_P=7113_K=4_dist=wishart_S=10,Run=numerical+categorical_P=7113_K=4_dist=podani_S=1.2,Run=numerical+categorical_P=7113_K=4_dist=podani_S=1.5,Run=numerical+categorical_P=7113_K=4_dist=podani_S=3,Run=numerical+categorical_P=7113_K=4_dist=podani_S=10,Run=numerical+categorical_P=7113_K=7_dist=gower_S=1.2,Run=numerical+categorical_P=7113_K=7_dist=gower_S=1.5,Run=numerical+categorical_P=7113_K=7_dist=gower_S=3,Run=numerical+categorical_P=7113_K=7_dist=gower_S=10,Run=numerical+categorical_P=7113_K=7_dist=wishart_S=1.2,Run=numerical+categorical_P=7113_K=7_dist=wishart_S=1.5,Run=numerical+categorical_P=7113_K=7_dist=wishart_S=3,Run=numerical+categorical_P=7113_K=7_dist=wishart_S=10,Run=numerical+categorical_P=7113_K=7_dist=podani_S=1.2,Run=numerical+categorical_P=7113_K=7_dist=podani_S=1.5,Run=numerical+categorical_P=7113_K=7_dist=podani_S=3,Run=numerical+categorical_P=7113_K=7_dist=podani_S=10,Run=numerical+categorical_P=7113_K=9_dist=gower_S=1.2,Run=numerical+categorical_P=7113_K=9_dist=gower_S=1.5,Run=numerical+categorical_P=7113_K=9_dist=gower_S=3,Run=numerical+categorical_P=7113_K=9_dist=gower_S=10,Run=numerical+categorical_P=7113_K=9_dist=wishart_S=1.2,Run=numerical+categorical_P=7113_K=9_dist=wishart_S=1.5,Run=numerical+categorical_P=7113_K=9_dist=wishart_S=3,Run=numerical+categorical_P=7113_K=9_dist=wishart_S=10,Run=numerical+categorical_P=7113_K=9_dist=podani_S=1.2,Run=numerical+categorical_P=7113_K=9_dist=podani_S=1.5,Run=numerical+categorical_P=7113_K=9_dist=podani_S=3,Run=numerical+categorical_P=7113_K=9_dist=podani_S=10,Run=numerical+categorical_P=7113_K=4_dist=gower_S=1.2_cluster_weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428932017617289,0.0439538047767123,0.0,0.0,0.0301488453662462,0.0447866271569706,0.0,0.0,0.0,0.0,0.0,0.0,0.0609095274731148,0.060628697449242,0.0,0.0,0.0493919584497955,0.0670458319596418,0.0,0.0,0.0,0.0,0.0,0.0,0.0776139994267168,0.0812054344956982,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269567528239772,0.2271945960168486,0.0,0.0,0.0435724748612349,0.0192827631009338,0.0,0.0,0.0,0.0,0.0,0.0,0.1401560917272997,0.1422119615620726,0.0,0.0,0.0418622793878732,0.2022276459526311,0.0,0.0,0.0,0.0,0.0,0.0,0.1222677173960024,0.1249658250312247,0.0
0.0,0.955079529513754,0.9409309249129132,0.1359272672187187,0.0,0.0,0.0,0.0,0.0,0.0,0.0045998204086004,0.0058315939538075,0.0,0.0,0.0086466776333654,0.0143891577242129,0.0,0.0,0.0,0.0,0.0,0.0,0.0133010430899016,0.0108655155593311,0.0,0.0,0.0099751844645961,0.0129316654885247,0.0,0.0,0.0,0.0,0.0,0.0,0.0103393217644297,0.0152766316650288,0.0
0.0,0.0,0.0030239677564039,0.0700497945047006,0.0,0.0,0.0,0.0,0.0,0.0,0.0160461004943995,0.0172267094319865,0.0,0.0,0.0107755414690152,0.0086352946839761,0.0,0.0,0.0,0.0,0.0,0.0,0.0149119634872535,0.0157106470088995,0.0,0.0,0.0074007520637974,0.0166137789254015,0.0,0.0,0.0,0.0,0.0,0.0,0.0154089137910097,0.0202448031192295,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097816086358046,0.0109902197073147,0.0,0.0,0.0072680374298714,0.0090386620764778,0.0,0.0,0.0,0.0,0.0,0.0,0.0084697663840629,0.0125194238907512,0.0,0.0,0.0087271978304702,0.0152126592067001,0.0,0.0,0.0,0.0,0.0,0.0,0.0071113022992738,0.0121131908839349,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059237534991323,0.0071496090940022,0.0,0.0,0.0092911995193863,0.0115576132514,0.0,0.0,0.0,0.0,0.0,0.0,0.006947719403299,0.010104904066607,0.0,0.0,0.0130653035536381,0.0140870211914758,0.0,0.0,0.0,0.0,0.0,0.0,0.0050554971151022,0.0100985134546961,0.0
0.0,0.0,0.0056300766777452,0.0738695997876745,0.0,0.0,0.0,0.0,0.0,0.0,0.0012185319710985,0.0024654197975269,0.0,0.0,0.000715474490924,0.0016652449068001,0.0,0.0,0.0,0.0,0.0,0.0,0.0032966663354955,0.0061340551097096,0.0,0.0,0.0055151394823152,0.0095925845426189,0.0,0.0,0.0,0.0,0.0,0.0,0.0016887529683801,0.0067991232718877,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9904016926117886e-05,0.0012920602830879,0.0,0.0,0.0099648608292407,0.0049962957081489,0.0,0.0,0.0,0.0,0.0,0.0,0.0014635216140853,0.0044545386178843,0.0,0.0,0.0037016788310047,0.0001629651997341,0.0,0.0,0.0,0.0,0.0,0.0,0.0008536927579092,0.0059807689983193,0.0
0.0,0.0091502074307192,0.0240846027497223,0.0898289049461926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010086315770395,0.0,0.0,0.0041516699295698,0.0011516396494682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009273201587899,0.0,0.0,0.0024112515245484,0.0063737137441744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019173805974469,0.0
0.0,0.0,0.0147592306292091,0.0919003275440104,0.0,0.0,0.0,0.0,0.0,0.0,0.0012260897464647,0.0024729437898117,0.0,0.0,0.0066018689902507,0.008748654948075,0.0,0.0,0.0,0.0,0.0,0.0,0.0065696240264692,0.0086221395925564,0.0,0.0,0.0084516304696,0.0107653510142344,0.0,0.0,0.0,0.0,0.0,0.0,2.7194068018518773e-05,0.0051708049663971,0.0
